File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2024353000000_aid0001,_250m_16_days_NDVI,aid0001,2024-12-18,3227.0,0.0348,0.3624,"(0.0348,0.3624)",0.107469,0.0332961,0.0011086,0.1198,0.1691,0.0978,0.041,0.0869
MOD13Q1_061__250m_16_days_NDVI_doy2025001000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-01,3227.0,0.0307,0.35,"(0.0307,0.35)",0.1082738,0.0348039,0.0012113,0.12205,0.1755,0.098,0.0371,0.0863
MOD13Q1_061__250m_16_days_NDVI_doy2025017000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-17,3227.0,0.0327,0.4348,"(0.0327,0.4348)",0.1033703,0.0294503,0.0008673,0.1139,0.1561,0.0957,0.0443,0.0856
MOD13Q1_061__250m_16_days_NDVI_doy2025033000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-02,3227.0,0.0448,0.3959,"(0.0448,0.3959)",0.1083558,0.0318593,0.001015,0.11895,0.1633,0.1003,0.0482,0.0893
MOD13Q1_061__250m_16_days_NDVI_doy2025049000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-18,3227.0,0.0381,0.3605,"(0.0381,0.3605)",0.10391,0.0287913,0.0008289,0.11355,0.1537,0.0966,0.0466,0.0867
MOD13Q1_061__250m_16_days_NDVI_doy2025065000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-06,3227.0,0.0409,0.3834,"(0.0409,0.3834)",0.1065045,0.0292573,0.000856,0.1163,0.1569,0.0984,0.0519,0.0891
MOD13Q1_061__250m_16_days_NDVI_doy2025081000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-22,3227.0,0.0426,0.3823,"(0.0426,0.3823)",0.1026179,0.0295662,0.0008742,0.1121,0.1527,0.0941,0.0454,0.085
MOD13Q1_061__250m_16_days_NDVI_doy2025097000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-07,3227.0,0.0283,0.3859,"(0.0283,0.3859)",0.1051391,0.0298694,0.0008922,0.1153,0.1572,0.0964,0.0479,0.08735
MOD13Q1_061__250m_16_days_NDVI_doy2025113000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-23,3227.0,0.035,0.367,"(0.035,0.367)",0.1038345,0.0309879,0.0009603,0.1147,0.1591,0.0944,0.0504,0.085
MOD13Q1_061__250m_16_days_NDVI_doy2025129000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-09,3227.0,0.0325,0.3849,"(0.0325,0.3849)",0.1021078,0.0306276,0.0009381,0.11095,0.1512,0.0931,0.0452,0.0841
MOD13Q1_061__250m_16_days_NDVI_doy2025145000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-25,3227.0,0.0349,0.3664,"(0.0349,0.3664)",0.1079723,0.0357803,0.0012802,0.1198,0.1709,0.0962,0.0349,0.0856
MOD13Q1_061__250m_16_days_NDVI_doy2025161000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-10,3227.0,0.0374,0.3654,"(0.0374,0.3654)",0.1079523,0.0350655,0.0012296,0.11965,0.1686,0.0963,0.04,0.0869
MOD13Q1_061__250m_16_days_NDVI_doy2025177000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-26,3227.0,0.0348,0.3898,"(0.0348,0.3898)",0.1118261,0.0374478,0.0014023,0.124,0.1766,0.0998,0.0431,0.0889
MOD13Q1_061__250m_16_days_NDVI_doy2025193000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-12,3227.0,0.0347,0.3362,"(0.0347,0.3362)",0.1117037,0.0333844,0.0011145,0.12415,0.1752,0.1011,0.0467,0.09
MOD13Q1_061__250m_16_days_NDVI_doy2025209000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-28,3227.0,0.0413,0.3685,"(0.0413,0.3685)",0.1090106,0.0349341,0.0012204,0.1219,0.1756,0.0985,0.0413,0.0861
MOD13Q1_061__250m_16_days_NDVI_doy2025225000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-13,3227.0,0.0405,0.3778,"(0.0405,0.3778)",0.1120808,0.0354023,0.0012533,0.1251,0.1789,0.1002,0.0405,0.0892
MOD13Q1_061__250m_16_days_NDVI_doy2025241000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-29,3227.0,0.0396,0.3743,"(0.0396,0.3743)",0.1115447,0.0364259,0.0013268,0.126,0.1835,0.0998,0.0396,0.0874
